Date,DaysRunning,Before5,6PM,7PM,8PM,9PM,ShowTotal,DailyAvgTemp2024-12-15,17,0,0,0,0,0,660,0.0
2024-12-16,18,0,119,286,428,500,1161,0.0
2024-12-17,19,0,0,0,119,144,1772,0.0
2024-12-18,20,0,0,0,117,139,2431,0.0
2024-12-19,21,1,68,136,193,223,2645,0.0
2024-12-20,22,27,178,449,735,1000,14476,0.0
2024-12-21,23,9,197,485,758,1116,15589,0.0
2024-12-22,24,7,191,460,733,1123,16714,34.7
2024-12-23,25,15,195,439,654,814,17531,35.7
2024-12-24,25,4,1,1,1,1,17531,34.0
2024-12-25,26,5,196,471,757,1003,18531,32.8
2024-12-26,27,1,0,0,0,0,18531,42.0
2024-12-27,28,0,0,0,0,0,18531,45.2
2024-12-28,29,72,220,522,809,1083,19613,44.6
2024-12-29,30,4,180,368,605,748,20360,40.3
2024-12-30,31,12,185,418,690,974,21330,40.7
2024-12-31,32,5,208,484,670,810,22139,38.2
